"","distancia_centro_comercial","distancia_escuela","distancia_universidad","distancia_cesped","distancia_bosques","distancia_parque","distancia_cine","distancia_discoteca","distancia_transporte","geometry"
"4697",636,6924,1145,14020,4734,5037,44,55,1907,c(-74.0502548218, 4.706930193)
"4698",489,6991,1241,14102,3568,1860,44,53,68,c(-74.0308452, 4.7034162)
"4699",11,946,210,9978,8048,4347,83,99,1463,c(-74.114859169, 4.6760815077)
"4700",2691,400,439,21743,6589,9415,12,98,128,c(-74.1329881, 4.6641289)
"4701",755,2455,439,426,16,16895,62,107,1658,c(-74.1279415, 4.6372758)
"4702",529,7074,1219,6962,1151,10611,79,69,153,c(-74.0384903, 4.7266333)
"4703",486,3344,156,13559,1038,1976,44,54,68,c(-74.0393727, 4.6966258)
"4704",491,3344,1237,13836,4735,9942,44,53,1907,c(-74.0423896, 4.705292)
"4705",530,3421,1220,13503,1151,12858,79,69,153,c(-74.042, 4.727)
"4706",79,2980,156,57803,1038,5137,14,54,68,c(-74.0339535, 4.696027)
"4707",491,3344,1237,13836,4735,9942,44,53,1907,c(-74.0423896, 4.705292)
"4708",1089,415,1219,69237,4755,20757,79,69,134,c(-74.041, 4.721)
"4709",79,2980,156,13554,1038,5806,14,54,68,c(-74.036, 4.696)
"4710",79,2980,156,13554,1038,5806,14,54,68,c(-74.036, 4.696)
"4711",1827,2154,138,12712,3860,3227,10,140,922,c(-74.0943648, 4.6299371)
"4712",18,1899,66,43687,3794,5764,13,79,1913,c(-74.0783089, 4.6413354)
"4713",1278,979,1184,60728,4242,17591,9,136,2573,c(-74.1258113, 4.623558)
"4714",1790,5385,166,15717,4852,2008,32,69,134,c(-74.03, 4.72)
"4715",79,6991,1055,1221,1047,3298,14,53,68,c(-74.031, 4.701)
"4716",557,3440,1150,16332,6315,8943,16,56,492,c(-74.0555385, 4.6907538)
"4717",557,3438,1150,13622,4899,9350,16,56,1863,c(-74.053, 4.691)
"4718",486,3344,156,2640,1047,969,44,53,68,c(-74.0400521, 4.6991456)
"4719",486,3344,156,13576,1038,1977,44,53,68,c(-74.04, 4.698)
"4720",489,6991,1238,14085,3568,1861,44,53,68,c(-74.032, 4.704)
"4721",445,2645,1153,17644,4879,6113,33,54,2276,c(-74.051, 4.689)
"4722",626,2153,1150,16373,4895,8940,16,56,490,c(-74.055, 4.695)
"4723",420,3431,1219,6965,4755,17783,79,69,134,c(-74.04, 4.723)
"4724",1062,3344,1152,13829,4880,967,44,53,68,c(-74.042, 4.7)
"4725",1271,394,210,60588,6589,34712,12,98,1449,c(-74.124, 4.665)
"4726",1270,3647,210,21443,6589,10580,53,101,454,c(-74.1173019, 4.6610626)
"4727",465,5632,1150,59211,6391,1958,16,56,2459,c(-74.0624518, 4.6956676)
"4728",489,522,1237,49692,4736,31141,44,53,1914,c(-74.04, 4.708)
"4729",626,3146,1145,13591,4881,973,44,55,1900,c(-74.051, 4.7)
"4730",1060,3438,1152,13614,4880,719,44,54,490,c(-74.0484977, 4.6935995)
"4731",90,917,1748,41297,8089,28576,46,71,1209,c(-74.073, 4.658)
"4732",284,550,168,15408,3568,1863,32,53,68,c(-74.029, 4.707)
"4733",1770,1064,1219,29868,4827,5153,32,69,153,c(-74.0301607, 4.7248663)
"4734",2424,5098,439,53112,6616,11323,12,101,889,c(-74.1288752, 4.6555297)
"4735",1084,963,1051,17679,5416,2873,20,67,2690,c(-74.066, 4.721)
"4736",18,1919,145,19383,3794,134,13,80,1912,c(-74.0800686, 4.643022)
"4737",1771,5383,1396,55791,4783,16767,79,69,1977,c(-74.0264424, 4.7322245)
"4738",1061,3344,156,13576,4880,1976,44,54,68,c(-74.0405816, 4.6967882)
"4739",1688,519,1237,13836,4735,19852,44,53,1907,c(-74.0418084, 4.7059083)
"4740",294,6936,1221,13526,4755,9843,79,66,134,c(-74.048, 4.72)
"4741",284,549,168,15394,1042,1864,32,53,68,c(-74.026, 4.705)
"4742",781,7058,1238,6961,3568,32155,32,53,68,c(-74.032, 4.709)
"4743",176,3344,156,13563,4880,5726,14,54,66,c(-74.041, 4.693)
"4744",288,3425,1221,13525,4755,9844,79,66,134,c(-74.0473557, 4.7217037)
"4745",1060,3344,1152,13801,4880,1491,44,54,66,c(-74.0441097276, 4.6930891422)
"4746",179,3344,156,13561,1038,5664,14,54,68,c(-74.0373802185, 4.6954034179)
"4747",636,6831,1145,27540,4734,5060,44,53,1914,c(-74.049, 4.709)
"4748",284,549,168,15394,1042,1864,32,53,68,c(-74.026, 4.705)
"4749",1795,2645,1632,13763,3515,5720,14,54,66,c(-74.042, 4.689)
"4750",755,907,1184,13692,5104,732,28,137,717,c(-74.14165, 4.6367798)
"4751",158,191,1221,16648,6308,11386,79,69,1968,c(-74.0484367222, 4.7336148661)
"4752",281,2162,1989,15675,4851,3582,32,69,134,c(-74.0305352211, 4.7139231527)
"4753",629,1315,1145,13540,4881,34116,44,53,400,c(-74.0483108048, 4.7023215952)
"4754",281,6734,1237,49779,3568,32154,32,53,1914,c(-74.0335017443, 4.7090687202)
"4755",1688,519,1237,13836,4735,19852,44,53,1907,c(-74.0418084, 4.7059083)
"4756",284,549,168,15394,1042,1864,32,53,68,c(-74.026, 4.705)
"4757",461,5633,1151,60859,6399,1918,16,56,1901,c(-74.061, 4.7)
"4758",159,191,1221,17171,6308,21655,79,66,1969,c(-74.05, 4.734)
"4759",284,7058,1241,15408,3568,1867,32,53,68,c(-74.031, 4.707)
"4760",489,7044,1237,49779,4736,32164,32,53,1914,c(-74.035, 4.709)
"4761",465,3000,1150,59216,6384,1958,16,56,2460,c(-74.062, 4.696)
"4762",1060,3438,1152,13792,4880,721,44,54,2276,c(-74.0473794937, 4.6923238762)
"4763",491,522,1237,13836,4735,31149,44,53,1907,c(-74.042, 4.707)
"4764",1060,3344,1152,13817,4880,1965,44,53,66,c(-74.0441969, 4.6987754)
"4765",284,7058,1241,15638,3568,1862,32,53,68,c(-74.031, 4.708)
"4766",422,415,1219,6532,1151,31569,79,69,134,c(-74.0365711, 4.7234771)
"4767",441,2162,166,15520,4758,5143,32,69,134,c(-74.0344302, 4.7156284)
"4768",284,554,168,15654,1042,1069,32,53,68,c(-74.0294623375, 4.7083416217)
"4769",529,7074,1219,6962,1151,13885,79,69,153,c(-74.0364725, 4.7256687)
"4770",293,3423,1221,13519,4755,11881,79,66,152,c(-74.0476717, 4.7238831)
"4771",636,6831,1145,27540,4734,5060,44,53,1914,c(-74.0489523, 4.7095263)
"4772",635,1315,1145,13539,4734,4986,44,53,400,c(-74.047, 4.703)
"4773",1060,3438,1153,13618,4880,6223,44,54,1852,c(-74.0491065, 4.6922848)
"4774",626,3146,1151,60859,6314,1919,16,56,1901,c(-74.0580946, 4.6994465)
"4775",425,2162,166,49633,4755,5146,32,69,134,c(-74.036001, 4.7168575)
"4776",486,3344,156,47066,1047,5827,44,53,68,c(-74.037, 4.699)
"4777",2246,6991,1055,1222,3566,3298,14,53,68,c(-74.029, 4.701)
"4778",2109,1563,1221,49323,6308,2971,79,69,1967,c(-74.0424797, 4.7321767)
"4779",10,651,210,10792,6589,13209,83,99,1468,c(-74.1179083, 4.6729324)
"4780",557,3439,1150,16367,4898,8945,16,56,492,c(-74.0538981, 4.6910864)
"4781",1688,522,1237,49695,4736,31141,44,53,1907,c(-74.0417754, 4.707483)
"4782",1060,3344,1152,13820,4880,15522,44,54,66,c(-74.0437044, 4.6976144)
"4783",209,7074,1221,46764,1150,14124,79,69,1967,c(-74.0407989, 4.7316032)
"4784",1182,60,292,49226,4336,455,27,143,928,c(-74.094, 4.613)
"4785",636,1315,1145,13536,4734,4915,44,55,1907,c(-74.05, 4.705)
"4786",1698,7589,1237,14068,1047,4385,44,53,68,c(-74.036, 4.703)
"4787",1770,5384,1219,29893,1150,16771,79,69,1958,c(-74.0312057, 4.7286075)
"4788",626,2153,1151,13616,4879,25518,16,56,490,c(-74.053, 4.695)
"4789",2330,2980,156,57795,1039,19393,14,54,68,c(-74.032884, 4.6935564)
"4790",1698,7589,1237,14068,1047,4385,44,53,68,c(-74.036, 4.703)
"4791",636,1315,1145,13543,4881,4905,44,52,400,c(-74.049869, 4.7031908)
"4792",2246,556,168,15387,1042,1864,14,53,68,c(-74.0269723255, 4.7023232316)
"4793",1946,22,1284,19474,10,4994,10,80,1340,c(-74.0895373, 4.6500777)
"4794",1770,7454,1219,15743,4817,10839,32,69,153,c(-74.0280379, 4.7250735)
"4795",655,4464,291,48359,4335,16722,9,107,1617,c(-74.1119567, 4.6213556)
"4796",1280,446,2242,50808,4337,12964,84,92,1091,c(-74.1025471687, 4.595953064)
"4797",1960,3574,418,10729,4337,12993,27,92,765,c(-74.0944000427, 4.5940685187)
"4798",31,2178,140,9164,5269,6298,13,140,1315,c(-74.0872478485, 4.6326978594)
"4799",425,2162,170,49632,4758,1959,32,69,134,c(-74.036040087, 4.71473756)
"4800",425,2162,170,49632,4758,1959,32,69,134,c(-74.036040087, 4.71473756)
"4801",427,415,1219,69238,4755,1592,79,69,134,c(-74.041845, 4.720107)
"4802",445,2645,1153,13756,4879,6115,33,54,2276,c(-74.049619, 4.687515)
"4803",486,6991,156,15550,1047,5817,44,53,68,c(-74.035028, 4.699757)
"4804",749,7342,156,15550,1047,3310,44,53,68,c(-74.035385, 4.701245)
"4805",295,6895,170,45208,4756,4907,44,66,1922,c(-74.048063, 4.714143)
"4806",626,3146,1145,13596,4881,973,44,55,1900,c(-74.051526, 4.699912)
"4807",419,415,166,45951,4755,31570,32,69,134,c(-74.037606, 4.719964)
"4808",529,3421,1219,6965,1151,17788,79,69,1943,c(-74.039809, 4.725197)
"4809",2070,3413,1396,29873,1150,4947,79,50,1992,c(-74.029699, 4.73914)
"4810",555,2162,166,46256,1151,6594,32,69,134,c(-74.035532, 4.72095)
"4811",1062,3344,1152,13830,4880,967,44,53,68,c(-74.042205, 4.69988)
"4812",529,3421,1219,6965,1151,17788,79,69,1942,c(-74.040074, 4.724929)
"4813",531,5384,1219,29888,1150,2288,79,69,1964,c(-74.032783, 4.729826)
"4814",2405,6991,1238,15550,1047,3312,44,53,68,c(-74.034065, 4.702119)
"4815",515,3390,1221,16630,6308,1486,79,66,1954,c(-74.048101, 4.72971)
"4816",291,3430,1220,69237,4755,5839,79,66,134,c(-74.044439, 4.721609)
"4817",2377,415,166,45951,4755,31570,32,69,134,c(-74.037584, 4.720093)
"4818",636,6831,1145,53875,4734,5060,44,55,1914,c(-74.049587, 4.710303)
"4819",175,2710,749,6375,3527,6026,14,54,129,c(-74.036936, 4.687051)
"4820",178,3344,156,13556,1038,1201,14,54,68,c(-74.038266, 4.69407)
"4821",636,6830,169,27539,4734,4914,44,52,1914,c(-74.048873, 4.710757)
"4822",68,3344,156,13829,4880,967,44,53,68,c(-74.041526, 4.700147)
"4823",529,3431,1219,6965,1151,17788,79,69,1943,c(-74.03957, 4.725026)
"4824",529,3431,1219,6965,1151,17788,79,69,1943,c(-74.039254, 4.725032)
"4825",1060,3438,1153,13618,4880,660,44,54,2276,c(-74.048944, 4.692151)
"4826",290,3428,1219,69234,4755,1593,79,66,134,c(-74.044291, 4.720284)
"4827",1060,3438,1153,13618,4880,6223,44,54,1852,c(-74.049167, 4.692155)
"4828",529,7074,1219,6965,1151,17788,79,69,1943,c(-74.038189, 4.725369)
"4829",471,883,45,27828,1423,289,26,43,907,c(-74.066533, 4.619157)
"4830",555,2162,166,45994,1151,31531,32,69,134,c(-74.034983, 4.720674)
"4831",427,415,170,27454,4755,3368,32,66,1925,c(-74.0426373482, 4.7165748988)
"4832",626,3527,1150,16372,4895,22192,16,56,1856,c(-74.054397, 4.6941247)
"4833",636,3146,1151,17376,4885,15969,44,55,1906,c(-74.055631, 4.705116)
"4834",625,3344,1152,13578,4880,34298,44,53,400,c(-74.046559, 4.7004304)
"4835",2133,3445,288,54154,6311,16499,20,67,873,c(-74.0611354, 4.7172832)
"4836",441,2162,166,15520,4758,5143,32,69,134,c(-74.0337608, 4.7146028)
"4837",529,7074,1219,6963,1151,13885,79,69,153,c(-74.036, 4.726)
"4838",625,3344,1152,13578,4880,5583,44,53,1900,c(-74.0467033172, 4.6997354659)
"4839",161,7954,1221,21014,6308,31686,79,66,1978,c(-74.0519215, 4.7359517)
"4840",557,3439,1150,16367,4898,8944,16,56,492,c(-74.054, 4.691)
"4841",529,3431,1219,6965,1151,17788,79,69,1943,c(-74.039, 4.725)
"4842",471,5092,42,27829,5792,292,26,43,635,c(-74.0692499, 4.6203074)
"4843",1027,587,1051,68109,6304,28711,45,68,1957,c(-74.061636, 4.7334977)
"4844",557,3459,1155,16323,6315,8923,16,56,2283,c(-74.056345, 4.688285)
"4845",1087,415,166,45951,4755,3366,32,69,134,c(-74.0393985, 4.7193767)
"4846",511,1503,1167,4014,8023,6129,12,86,293,c(-74.1481151, 4.6819393)
"4847",79,6991,1055,15550,1047,1869,14,53,68,c(-74.0322743, 4.7010789)
"4848",1795,3344,1632,6683,3527,5751,14,54,66,c(-74.0400117, 4.690368)
"4849",529,7074,1219,6962,1151,10611,79,69,153,c(-74.0384553, 4.7261589)
"4850",626,3146,1145,13591,4881,973,44,55,1900,c(-74.051, 4.7)
"4851",11,946,2222,20173,6674,16392,83,100,1446,c(-74.109, 4.674)
"4852",197,110,74,16794,8409,11796,31,50,2030,c(-74.045, 4.754)
"4853",626,3146,1151,16435,4881,971,44,55,400,c(-74.0523255, 4.7021067)
"4854",2512,7342,156,15550,1047,3311,44,53,68,c(-74.0351619, 4.7016339)
"4855",1061,3344,156,13562,1038,1976,44,54,68,c(-74.0400714222, 4.6965397552)
"4856",1073,1672,1221,29929,6304,11377,45,68,1956,c(-74.0578294, 4.7326056)
"4857",530,7074,1220,49318,1151,11782,79,69,153,c(-74.0416665, 4.72749)
"4858",445,2644,1154,60892,4898,6216,33,56,2277,c(-74.054, 4.687)
"4859",626,3146,1151,7106,4873,8537,44,56,1900,c(-74.0532145, 4.6989256)
"4860",1060,3344,1152,13579,4880,3626,44,54,13,c(-74.0472197565, 4.6962443427)
"4861",2246,1815,1055,14097,3566,3298,14,53,68,c(-74.0281369, 4.700943)
"4862",511,1605,1167,21997,8023,6367,12,86,2622,c(-74.1495134, 4.6829962)
"4863",422,415,166,46330,1151,31566,32,69,134,c(-74.0361171, 4.7218174)
"4864",175,2710,749,6369,3527,6022,14,54,129,c(-74.0367335, 4.6859113)
"4865",164,679,2036,9701,6616,16529,39,30,426,c(-74.1073722, 4.6577723)
"4866",81,2982,1055,15621,1038,571,14,53,68,c(-74.02948, 4.697534)
"4867",1060,3438,1153,13793,4880,1998,44,54,66,c(-74.0463651, 4.6915072)
"4868",175,2710,749,6369,3527,6022,14,54,129,c(-74.0367335, 4.6859113)
"4869",294,6940,1221,1946,4755,4402,20,62,1929,c(-74.0496386, 4.720565)
"4870",281,2162,166,1862,4851,5128,32,69,134,c(-74.0312057, 4.7151878)
"4871",489,6990,1237,14060,4735,31013,44,53,68,c(-74.0390159, 4.7044588)
"4872",289,6934,1221,13528,4755,952,79,66,134,c(-74.0462422371, 4.7194832539)
"4873",17,7125,1749,19167,8090,31722,13,71,505,c(-74.0775898, 4.6556766)
"4874",31,1028,624,19129,3552,171,13,140,882,c(-74.0806066, 4.6293675)
"4875",555,1064,1219,29869,1151,3583,32,69,1946,c(-74.032514, 4.7248705)
"4876",284,549,168,15396,1042,1864,32,53,68,c(-74.0272464, 4.7056877)
"4877",248,498,1184,23790,5104,10515,17,137,722,c(-74.1419338, 4.630076)
"4878",5,3346,1180,68891,8175,4529,77,65,2328,c(-74.0851037, 4.6833771)
"4879",1060,3344,1152,13803,4880,15514,44,54,66,c(-74.0442123, 4.6962477)
"4880",733,717,752,40661,3712,10435,13,140,1189,c(-74.0747395, 4.6322202)
"4881",641,759,1286,21204,6615,643,11,30,1009,c(-74.112, 4.652)
"4882",2397,2162,166,15710,4852,5119,32,69,134,c(-74.0313209, 4.7167883)
"4883",2055,983,289,32610,3554,17123,27,143,1167,c(-74.0909602, 4.622794)
"4884",625,3438,1145,13609,4880,11719,44,54,13,c(-74.0490073, 4.6957909)
"4885",1609,3146,1151,61929,6394,9335,29,55,1909,c(-74.0604747, 4.7055437)
"4886",529,3431,1219,6965,1151,17788,79,69,1943,c(-74.039, 4.725)
"4887",2070,4289,932,58260,6300,13922,79,50,2008,c(-74.034, 4.744)
"4888",744,4004,114,45578,8047,30996,19,87,261,c(-74.11, 4.701)
"4889",2246,6991,1055,1222,3566,3298,14,53,68,c(-74.029, 4.701)
"4890",295,6897,170,45209,4756,4907,44,53,1918,c(-74.0480282147, 4.7135242296)
"4891",781,2162,167,6980,4851,5120,32,69,134,c(-74.0298234, 4.7139947)
"4892",9,752,1168,66065,8037,6192,83,86,293,c(-74.131, 4.684)
"4893",137,4817,1125,26838,8177,11592,21,64,163,c(-74.0639021, 4.6752101)
"4894",1338,5288,1248,25180,6236,8325,80,134,987,c(-74.17, 4.612)
"4895",510,1585,1168,43886,8037,6415,12,86,293,c(-74.138, 4.68)
"4896",401,497,1185,23755,5103,27976,28,137,2,c(-74.15, 4.631)
"4897",1690,519,1237,13836,4735,31011,44,53,1907,c(-74.041, 4.706)
"4898",1770,3309,1219,15733,4759,6766,32,69,1962,c(-74.026, 4.727)
"4899",1065,7818,1183,39511,5103,2910,17,137,1714,c(-74.151, 4.624)
"4900",248,498,1184,24965,5104,20056,17,137,3,c(-74.144, 4.628)
"4901",1338,5288,1248,25180,6236,8325,80,134,987,c(-74.17, 4.612)
"4902",401,497,1185,23755,5103,27976,28,137,2,c(-74.15, 4.631)
"4903",1065,7236,1183,10783,5103,12165,3,137,1714,c(-74.155, 4.62)
"4904",2584,3717,1187,25810,6238,18201,28,137,730,c(-74.165, 4.639)
"4905",418,1034,291,14640,4335,1636,9,112,1738,c(-74.1071003, 4.6200182)
"4906",401,497,1185,23755,5103,27976,28,137,2,c(-74.15, 4.631)
"4907",1065,7236,1183,10783,5103,12165,3,137,1714,c(-74.155, 4.62)
"4908",401,500,1185,40212,5103,6620,28,137,1714,c(-74.151, 4.629)
"4909",717,3228,679,40364,7186,27555,67,88,350,c(-74.0854728, 4.5814026)
"4910",2070,1681,1396,29874,1150,21609,79,50,1995,c(-74.0312495, 4.7402933)
"4911",284,555,168,15646,1042,1067,32,53,68,c(-74.0277099, 4.7097592)
"4912",1061,3344,156,13576,4880,1976,44,54,68,c(-74.0409825, 4.6961296)
"4913",531,5384,1222,29877,1150,12624,79,69,1967,c(-74.0337538, 4.7309088)
"4914",295,491,170,15532,4755,5573,44,66,874,c(-74.047959, 4.7166336)
"4915",445,3438,1153,17646,4879,6218,33,54,2276,c(-74.0506445, 4.6901543)
"4916",1061,3344,156,13576,4880,1976,44,54,68,c(-74.0409825, 4.6961296)
"4917",491,3344,1237,13834,4735,9942,44,53,1907,c(-74.0433355, 4.7062777)
"4918",1060,3438,1153,13620,4879,6223,33,54,2276,c(-74.049, 4.691)
"4919",2066,1764,1396,29901,1150,21481,79,69,406,c(-74.0367671, 4.7352739)
"4920",1776,3420,1221,13503,6308,4743,79,69,153,c(-74.046, 4.728)
"4921",208,7074,1219,49313,1150,14117,79,69,1967,c(-74.039, 4.732)
"4922",79,7056,1055,15618,1047,3296,14,53,68,c(-74.0312463, 4.6993674)
"4923",625,3438,1153,13618,4879,728,44,54,1855,c(-74.05, 4.693)
"4924",555,1064,1219,29870,1151,3585,32,69,1946,c(-74.033, 4.725)
"4925",530,3421,1220,13503,1151,12858,79,69,153,c(-74.042, 4.727)
"4926",626,3146,1151,7096,4885,8536,44,56,1900,c(-74.054, 4.699)
"4927",289,6895,170,6376,4755,4916,44,66,874,c(-74.047, 4.715)
"4928",1791,2162,166,6973,4851,9961,32,69,134,c(-74.031, 4.716)
"4929",207,1563,1221,49324,6308,2971,79,69,1967,c(-74.0426516, 4.7322213)
"4930",284,554,168,15651,1042,1067,32,53,68,c(-74.029, 4.71)
"4931",1688,522,1237,13836,4735,19852,44,53,1907,c(-74.042, 4.706)
"4932",79,2980,156,13554,1038,5818,14,53,68,c(-74.035, 4.697)
"4933",1776,3420,1221,13501,4755,4745,79,69,1946,c(-74.046, 4.727)
"4934",441,2162,166,15520,4758,5146,32,69,134,c(-74.035, 4.715)
"4935",445,2643,1154,17641,4879,6115,33,54,2276,c(-74.05, 4.687)
"4936",2246,6991,1055,1222,3566,3298,14,53,68,c(-74.029, 4.701)
"4937",489,7044,1237,49779,4736,32164,32,53,1914,c(-74.035, 4.709)
"4938",636,6833,1145,27540,4734,5048,44,55,1914,c(-74.05, 4.709)
"4939",1698,7589,1237,14068,1047,4385,44,53,68,c(-74.036, 4.703)
"4940",441,2162,166,15520,4758,5146,32,69,134,c(-74.035, 4.715)
"4941",531,7074,1219,29877,1150,21578,79,69,1964,c(-74.034, 4.73)
"4942",207,1563,1221,49324,6308,2971,79,69,1967,c(-74.0426516, 4.7322213)
"4943",489,7044,1237,49779,4736,32164,32,53,1914,c(-74.035, 4.709)
"4944",626,3146,1151,16434,4873,971,44,55,400,c(-74.053, 4.702)
"4945",1795,3438,1153,13784,4880,661,14,54,66,c(-74.045, 4.691)
"4946",2246,6991,1055,1222,3566,3298,14,53,68,c(-74.029, 4.701)
"4947",489,6991,1241,14103,3568,1860,44,53,68,c(-74.031, 4.704)
"4948",420,3431,1219,6965,1151,17783,79,69,134,c(-74.04, 4.724)
"4949",655,4463,291,48358,4335,36405,9,107,697,c(-74.1137243, 4.6236586)
"4950",1292,3673,654,40790,4242,28885,84,115,1084,c(-74.1175246239, 4.6063051079)
"4951",152,5093,38,28403,3474,259,26,44,706,c(-74.071, 4.616)
"4952",152,5093,1305,28403,3474,19976,26,45,909,c(-74.0710219, 4.6162586)
"4953",112,2530,1331,24459,4242,3527,9,118,2497,c(-74.126, 4.613)
"4954",733,2309,750,60910,3544,34854,13,57,436,c(-74.078, 4.627)
"4955",1256,2154,18,723,3860,13162,10,140,922,c(-74.092, 4.632)
"4956",18,1919,145,19383,3794,134,13,80,1912,c(-74.08, 4.643)
"4957",6,1169,59,18863,8081,4660,47,65,1226,c(-74.0805047, 4.6708872)
"4958",508,2352,436,21905,8037,4828,12,98,128,c(-74.1418330063, 4.666998293)
"4959",511,1502,1167,22007,8023,6410,12,86,293,c(-74.1466888, 4.6837111)
"4960",10,650,210,10792,6589,4298,12,99,1468,c(-74.1207866, 4.6717035)
"4961",1489,312,1165,54653,8043,16438,19,86,2623,c(-74.1239917, 4.6987772)
"4962",1270,3647,210,53197,6616,3210,1,101,454,c(-74.1191178, 4.6595513)
"4963",511,1517,436,22002,8023,6546,12,86,293,c(-74.1470084, 4.6783612)
"4964",2690,685,439,21897,8038,6003,12,98,295,c(-74.134, 4.671)
"4965",2691,5101,439,21690,6589,28728,12,98,128,c(-74.1354873, 4.662177)
"4966",456,1600,2308,3155,7834,32254,74,70,2601,c(-74.0916299, 4.699948)
"4967",477,963,1051,9013,5423,2733,42,67,2714,c(-74.0653476, 4.7254281)
"4968",626,3146,1151,12792,4887,27951,29,55,401,c(-74.058, 4.704)
"4969",636,3146,1151,29933,6402,9334,29,55,1910,c(-74.059, 4.705)
"4970",461,3000,1151,60859,6362,1919,16,56,1901,c(-74.059, 4.699)
"4971",834,2599,1047,662,5429,2784,42,67,229,c(-74.071, 4.729)
"4972",658,839,1184,60733,4242,17594,9,120,2573,c(-74.1251526, 4.6231779)
"4973",401,907,1184,13692,5104,790,28,137,717,c(-74.1419902, 4.6357989)
"4974",757,2947,438,69084,5104,12313,28,107,128,c(-74.1390218, 4.6455252)
"4975",490,6924,1145,13534,4735,5034,44,53,1907,c(-74.046, 4.706)
"4976",295,494,170,45208,4756,4909,44,66,874,c(-74.048, 4.715)
"4977",486,3344,156,13560,1038,1976,14,54,68,c(-74.039, 4.696)
"4978",2573,2980,749,6802,3515,6025,14,54,65,c(-74.039, 4.688)
"4979",625,3438,1153,13618,4879,728,44,54,1855,c(-74.05, 4.693)
"4980",478,588,1051,17810,5428,30174,42,67,229,c(-74.067, 4.728)
"4981",154,7591,1397,60305,6307,2160,79,69,488,c(-74.047, 4.739)
"4982",425,2162,166,49632,4755,5146,32,69,134,c(-74.036, 4.716)
"4983",284,556,168,15394,1042,1864,32,53,68,c(-74.028, 4.705)
"4984",1088,3430,1219,69237,4755,1591,79,69,134,c(-74.042, 4.721)
"4985",635,1315,1145,13540,4881,4987,44,53,400,c(-74.048, 4.703)
"4986",6,1705,1178,18624,6647,16370,47,65,2336,c(-74.087, 4.675)
"4987",175,2710,156,6368,3405,3336,14,54,129,c(-74.0341905, 4.687229)
"4988",625,3344,1152,13578,4880,34298,44,53,400,c(-74.0465718, 4.7004919)
"4989",425,2162,170,49631,4758,1959,32,69,874,c(-74.0359324, 4.7143857)
"4990",175,2710,156,6368,3405,3336,14,54,129,c(-74.0341905, 4.687229)
"4991",2639,400,439,60592,6589,639,12,98,889,c(-74.1304886, 4.6637321)
"4992",162,756,210,21475,6616,16543,41,30,454,c(-74.1172877, 4.6558863)
"4993",427,415,170,27588,4755,3367,32,66,1925,c(-74.0418631, 4.7160631)
"4994",6,7088,943,47145,8085,14439,47,71,1210,c(-74.08138762, 4.6615174166)
"4995",325,114,288,30093,6393,11398,29,55,233,c(-74.0675228, 4.7054968)
"4996",401,1332,539,4598,5103,8589,28,137,2426,c(-74.154555, 4.641624)
"4997",292,3421,1221,13513,4755,1063,79,69,1938,c(-74.0440642, 4.724507)
"4998",164,760,210,21262,6616,11045,54,30,9,c(-74.1117229, 4.6584349)
"4999",1609,3146,288,7626,6394,15508,29,55,1909,c(-74.061761247, 4.7059120512)
"5000",139,483,220,41263,8089,9369,22,71,598,c(-74.0661154, 4.6620212)
"5001",626,3146,1151,7099,4881,8537,44,56,1900,c(-74.0520752, 4.6992681)
"5002",2655,1945,1166,43902,7961,3427,24,86,21,c(-74.1365116, 4.7141456)
"5003",2655,1945,1166,43902,7961,3427,24,86,21,c(-74.1365116, 4.7141456)
"5004",1123,1054,1316,45836,8231,12813,84,92,786,c(-74.1100482, 4.5808687)
"5005",2069,3327,1396,29876,1150,21475,79,69,488,c(-74.035, 4.738)
"5006",1609,3460,288,63068,6394,35216,29,55,1906,c(-74.061, 4.707)
"5007",625,3344,1152,13578,4880,34298,44,53,400,c(-74.047, 4.7)
"5008",290,3428,1219,69234,4755,1593,79,66,134,c(-74.044, 4.72)
"5009",486,3344,156,13576,1038,1977,44,53,68,c(-74.04, 4.698)
"5010",17,1006,1934,54182,3802,118,13,80,1208,c(-74.083, 4.65)
"5011",443,7180,166,15680,4852,2007,32,69,134,c(-74.0290483, 4.7228218)
"5012",443,7180,166,15680,4852,2007,32,69,134,c(-74.0290483, 4.7228218)
"5013",443,7180,166,15680,4852,2007,32,69,134,c(-74.0290483, 4.7228218)
"5014",443,7180,166,15680,4852,2007,32,69,134,c(-74.0290483, 4.7228218)
"5015",443,7180,166,15680,4852,2007,32,69,134,c(-74.0290483, 4.7228218)
"5016",1790,5385,166,15722,4852,12517,32,69,134,c(-74.029, 4.722)
"5017",443,7180,166,15680,4852,2007,32,69,134,c(-74.0290483, 4.7228218)
"5018",443,7180,166,15680,4852,2007,32,69,134,c(-74.0290483, 4.7228218)
"5019",948,2948,539,45865,5103,31159,28,107,128,c(-74.1479204, 4.6487431)
"5020",1791,2162,166,6973,4851,9961,32,69,134,c(-74.031, 4.716)
"5021",948,2948,539,45865,5103,31159,28,107,128,c(-74.1479204, 4.6487431)
"5022",290,3428,1219,69234,4755,1593,79,66,134,c(-74.044, 4.72)
"5023",948,2948,539,45865,5103,31159,28,107,128,c(-74.1479204, 4.6487431)
"5024",733,2309,750,60910,3544,34854,13,57,436,c(-74.078, 4.627)
"5025",2070,417,932,61143,6300,13910,79,50,404,c(-74.033, 4.748)
